,Country,Percentile_of_1,Fatality_95_Percentile
0,Afghanistan,96.4,49.5
1,Algeria,97.3,65.5
2,Angola,97.9,870.9
3,Armenia,91.7,24.1
4,Azerbaijan,96.8,39.2
5,Bahrain,96.9,1993.7
6,Benin,98.4,65.0
7,Botswana,99.9,35.8
8,Bulgaria,9999,9999.0
9,Burkina Faso,94.2,113.2
10,Burundi,58.9,63.6
11,Cameroon,94.1,150.7
12,Cape Verde,9999,9999.0
13,Central African Republic,94.3,585.1
14,Chad,98.1,1812.9
15,Comoros,99.7,23.6
16,Congo,96.9,127.0
17,"Congo, DRC",95,227.7
18,Cote d'Ivoire,98.1,72.1
19,Djibouti,94.2,753.4
20,Egypt,97.9,96.9
21,Equatorial Guinea,9999,9999.0
22,Eritrea,95.5,452.5
23,Ethiopia,94.1,441.9
24,Gabon,99.9,151.8
25,Georgia,99.5,28.3
26,Ghana,99.3,113.0
27,Greece,99.9,1.7
28,Guinea,99,275.1
29,Guinea-Bissau,92.4,46.6
30,Iran,97.4,46.0
31,Iraq,80.2,173.4
32,Israel,51.5,21.5
33,Jordan,84.5,74.7
34,Kenya,95,176.6
35,Kuwait,99.3,389.2
36,Lebanon,53.5,476.1
37,Lesotho,95.9,13.0
38,Liberia,91.9,518.7
39,Libya,50,4161.8
40,Madagascar,99.9,31.2
41,Malawi,99.9,11.3
42,Mali,96.3,1170.2
43,Mauritania,99.8,655.1
44,Mauritius,9999,9999.0
45,Morocco,99.9,2124.0
46,Mozambique,98.4,289.0
47,Namibia,99.9,352.5
48,Niger,99,1077.4
49,Nigeria,89.8,97.2
50,Oman,9999,9999.0
51,Pakistan,98.3,100.0
52,Qatar,99.3,1993.7
53,Rwanda,72.4,92.0
54,Sao Tome and Principe,100,2.7
55,Saudi Arabia,99.5,119.8
56,Senegal,96.8,53.8
57,Seychelles,9999,9999.0
58,Sierra Leone,87.1,230.5
59,Somalia,88.9,234.0
60,South Africa,98.3,12.7
61,South Sudan,88.3,347.4
62,Sudan,95.7,731.1
63,Swaziland,96.8,9.1
64,Syria,67.5,371.0
65,Tanzania,98.6,192.3
66,The Gambia,87.5,59.6
67,Togo,97.7,82.5
68,Tunisia,97.2,49.0
69,Turkey,88.5,110.5
70,Turkmenistan,50,2.0
71,USSR,99,5.3
72,Uganda,81.1,175.8
73,United Arab Emirates,99.9,6.2
74,Yemen,91.5,136.5
75,Yemen Arab Republic,9999,9999.0
76,Yemen People's Republic,9999,9999.0
77,Zambia,99.8,515.1
78,Zimbabwe,99.7,8.1
